program_id,program_label,marker,measured_in_object,intended_in_registry,base_program_id,provenance_inherited,counted_in_primary_panel_totals,registry_rationale,citation_key,cited_pmid,cited_doi,cited_title,evidence_class,support_basis,source_locator,species_basis,specificity_verdict,specificity_limit,allowed_claim,external_primary_support,reviewer_notes
th17_like,Th17-like,IL17A,True,True,,False,True,signature Th17 cytokine,acosta,17486092,10.1038/ni1467,Surface phenotype and antigenic specificity of human interleukin 17-producing T helper memory cells.,directly_supported_primary,abstract_located,Acosta-Rodriguez 2007 abstract: 'Interleukin 17 (IL-17)-producing T helper cells',mixed_mouse_human,specific_within_cd4,among T cells fairly Th17-restricted; also γδ/MAIT/Tc17,IL17A is a primary-supported signature Th17 cytokine.,,
th17_like,Th17-like,IL17F,True,True,,False,True,Th17 effector cytokine,ivanov,16990136,10.1016/j.cell.2006.07.035,The orphan nuclear receptor RORgammat directs the differentiation program of proinflammatory IL-17+ T helper cells.,directly_supported_primary,abstract_located,Ivanov 2006 abstract: 'genes encoding IL-17 and the related cytokine IL-17F in naive CD4+ T helper cells' (MOUSE),mixed_mouse_human,specific_within_cd4,also gd T/ILC3; defensible among conventional Th subsets but not lineage-exclusive,IL17F is a primary-supported Th17 effector cytokine.,,
th17_like,Th17-like,IL23R,True,True,,False,True,"IL-23 receptor, Th17 maintenance",acosta,17486092,10.1038/ni1467,Surface phenotype and antigenic specificity of human interleukin 17-producing T helper memory cells.,not_in_cited_source,cited_not_located,IL23R not in Acosta-Rodriguez 2007 abstract; PMC full text unavailable — not located in cited source,na,context_dependent,shared with ILC3/γδ; frequent dropout in scRNA,IL23R (Th17-maintenance) is biologically standard but NOT documented in the registry-cited sources.,,
th17_like,Th17-like,KLRB1,True,True,,False,True,"CD161, human Th17-associated surface marker",acosta,17486092,10.1038/ni1467,Surface phenotype and antigenic specificity of human interleukin 17-producing T helper memory cells.,partially_miscited,cited_not_located,CD161/KLRB1 NOT in Acosta-Rodriguez 2007 (cited paper supports CCR6). Correct source: Cosmi 2008 (PMID 18663128),na,low_specificity,broadly on NK/NKT/MAIT/CD8 and a large T-cell fraction,CD161/KLRB1 is Th17-associated but the registry's cited paper does not establish it; correct source is Cosmi 2008. Low specificity.,Cosmi 2008 (PMID 18663128): CD161+CD4+ Th17 precursor,
tfh_like,Tfh-like,CXCR5,True,True,,False,True,Tfh follicle-homing receptor (canonical),crotty,31117010,10.1016/j.immuni.2019.04.011,T Follicular Helper Cell Biology: A Decade of Discovery and Diseases.,directly_supported_review,full_text_located,Crotty 2019 full text: 'human tonsillar germinal center CD4 T cells and CXCR5+ CD4 T cells in blood' (31 hits),review,shared_other_lineage,expressed on B cells (ligand-defining lineage); not CD4-specific in mixed objects,CXCR5 marks a Tfh-type follicular-homing program (review-level only; no primary citation).,,
tfh_like,Tfh-like,BCL6,True,True,,False,True,Tfh master transcription factor,crotty,31117010,10.1016/j.immuni.2019.04.011,T Follicular Helper Cell Biology: A Decade of Discovery and Diseases.,directly_supported_review,abstract_located,Crotty 2019 abstract/FT: 'Bcl6 as the lineage-defining transcription factor',review,shared_other_lineage,shared with GC B cells; low/dropout in scRNA,BCL6 is the Tfh master TF (review-level only).,,
tfh_like,Tfh-like,IL21,True,True,,False,True,signature Tfh effector cytokine,crotty,31117010,10.1016/j.immuni.2019.04.011,T Follicular Helper Cell Biology: A Decade of Discovery and Diseases.,directly_supported_review,full_text_located,Crotty 2019 full text: 'most potent inducer of IL-21 expression',review,shared_other_lineage,shared with Th17/NKT,IL21 supports a Tfh-type effector program (review-level only).,,
treg_like,Treg-like,FOXP3,True,True,,False,True,Treg master transcription factor,hori,12522256,10.1126/science.1079490,Control of regulatory T cell development by the transcription factor Foxp3.,directly_supported_primary,abstract_located,Hori 2003 abstract: 'Foxp3 encodes a transcription factor... specifically expressed in CD4+ regulatory T cells' (MOUSE),mouse_primary_human_extension,shared_with_activation,transiently induced in ACTIVATED human conventional CD4 T cells — not Treg-exclusive,FOXP3 is the primary-supported Treg master TF (mouse); in activated human CD4 high-FOXP3 is not a Treg-specific call.,,
treg_like,Treg-like,IKZF2,True,True,,False,True,"Helios, (thymic) Treg stability marker",thornton,20181882,10.4049/jimmunol.0904028,"Expression of Helios, an Ikaros transcription factor family member, differentiates thymic-derived from peripherally induced Foxp3+ T regulatory cells.",partially_miscited,abstract_located,Thornton 2010 abstract names Helios/Ikaros family & thymic-vs-peripheral ORIGIN; rationale word 'stability' NOT supported (MOUSE). Akimova 2011 (PMID 21918685): Helios=activation/proliferation,mouse_primary_human_extension,shared_with_activation,'stability' NOT established; Helios also induced with activation/proliferation,Thornton supports Helios as a candidate thymic-ORIGIN marker; the registry rationale word 'stability' is NOT established (partially miscited). Helios is also activation-inducible.,Akimova 2011 (PMID 21918685): Helios = activation/proliferation marker; fails nTreg-vs-iTreg discrimination,"Registry rationale '(thymic) Treg STABILITY marker' overstates Thornton (origin, not stability)."
treg_like,Treg-like,CTLA4,True,True,,False,True,Treg effector checkpoint molecule,,,,,not_in_cited_source,none,No registry source cites CTLA4; not located in Hori/Thornton,na,shared_with_activation,strongly induced on ALL activated CD4; overlaps checkpoint panel,CTLA4 is Treg-associated but broadly activation-induced and not established by any cited source.,,
treg_like,Treg-like,CCR8,True,True,,False,True,tissue/effector Treg chemokine receptor,,,,,not_in_cited_source,none,No registry source cites CCR8,na,shared_other_lineage,shared with Th2 and tissue/activated cells,CCR8 (effector/tissue-Treg) is not established by any cited source; not Treg-specific.,,
treg_like,Treg-like,TNFRSF18,True,True,,False,True,"GITR, Treg-associated costimulatory receptor",,,,,not_in_cited_source,none,No registry source cites TNFRSF18/GITR,na,shared_with_activation,induced on activated conventional T cells; not Treg-specific,TNFRSF18/GITR is Treg-associated but activation-induced; not established by any cited source.,,
cd4_ctl_like,CD4 CTL-like,GNLY,True,True,,False,True,"granulysin, cytotoxic granule",patil,29352091,10.1126/sciimmunol.aan8664,Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis.,directly_supported_primary,full_text_located,"Patil 2018 PMC5931334 (official PMC full-text XML, auditor-fetched): cytotoxic-transcript list 'GZMB, PRF1, GZMH, GNLY, ... S1PR5, NKG7, CD244' in the CD4-TEMRA differential-expression RESULTS (GZMB/PRF1 9 hits, GZMH/GNLY 5, NKG7 6). https://pmc.ncbi.nlm.nih.gov/articles/PMC5931334/",human,shared_cytotoxic_lineages,shared with CD8/NK cytotoxic programs; a pan-cytotoxicity signature (GZMH most CD4-CTL-associated),GNLY is a primary-supported (Patil 2018) cytotoxicity transcript of the human CD4-CTL program; not CD4-CTL-specific vs CD8/NK.,,
cd4_ctl_like,CD4 CTL-like,PRF1,True,True,,False,True,"perforin, pore-forming cytolytic effector",patil,29352091,10.1126/sciimmunol.aan8664,Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis.,directly_supported_primary,full_text_located,"Patil 2018 PMC5931334 (official PMC full-text XML, auditor-fetched): cytotoxic-transcript list 'GZMB, PRF1, GZMH, GNLY, ... S1PR5, NKG7, CD244' in the CD4-TEMRA differential-expression RESULTS (GZMB/PRF1 9 hits, GZMH/GNLY 5, NKG7 6). https://pmc.ncbi.nlm.nih.gov/articles/PMC5931334/",human,shared_cytotoxic_lineages,shared with CD8/NK cytotoxic programs; a pan-cytotoxicity signature (GZMH most CD4-CTL-associated),PRF1 is a primary-supported (Patil 2018) cytotoxicity transcript of the human CD4-CTL program; not CD4-CTL-specific vs CD8/NK.,,
cd4_ctl_like,CD4 CTL-like,GZMH,True,True,,False,True,"granzyme H, CD4-CTL-associated granzyme",patil,29352091,10.1126/sciimmunol.aan8664,Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis.,directly_supported_primary,full_text_located,"Patil 2018 PMC5931334 (official PMC full-text XML, auditor-fetched): cytotoxic-transcript list 'GZMB, PRF1, GZMH, GNLY, ... S1PR5, NKG7, CD244' in the CD4-TEMRA differential-expression RESULTS (GZMB/PRF1 9 hits, GZMH/GNLY 5, NKG7 6). https://pmc.ncbi.nlm.nih.gov/articles/PMC5931334/",human,shared_cytotoxic_lineages,shared with CD8/NK cytotoxic programs; a pan-cytotoxicity signature (GZMH most CD4-CTL-associated),GZMH is a primary-supported (Patil 2018) cytotoxicity transcript of the human CD4-CTL program; not CD4-CTL-specific vs CD8/NK.,,
cd4_ctl_like,CD4 CTL-like,KLRD1,True,True,,False,True,"CD94, NK/CTL receptor",,,,,not_in_cited_source,none,KLRD1/CD94 NOT in Patil 2018 text or figures per independent review; needs separate source,na,shared_cytotoxic_lineages,shared with NK/CD8; an NK-lineage receptor,KLRD1/CD94 is absent from the cited Patil paper and needs a separate source; not established here.,,
cd4_ctl_like,CD4 CTL-like,GZMB,True,True,,False,True,"granzyme B, cytolytic serine protease",patil,29352091,10.1126/sciimmunol.aan8664,Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis.,directly_supported_primary,full_text_located,"Patil 2018 PMC5931334 (official PMC full-text XML, auditor-fetched): cytotoxic-transcript list 'GZMB, PRF1, GZMH, GNLY, ... S1PR5, NKG7, CD244' in the CD4-TEMRA differential-expression RESULTS (GZMB/PRF1 9 hits, GZMH/GNLY 5, NKG7 6). https://pmc.ncbi.nlm.nih.gov/articles/PMC5931334/",human,shared_cytotoxic_lineages,shared with CD8/NK cytotoxic programs; a pan-cytotoxicity signature (GZMH most CD4-CTL-associated),GZMB is a primary-supported (Patil 2018) cytotoxicity transcript of the human CD4-CTL program; not CD4-CTL-specific vs CD8/NK.,,
cd4_ctl_like,CD4 CTL-like,NKG7,True,True,,False,True,cytotoxic granule regulator,patil,29352091,10.1126/sciimmunol.aan8664,Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis.,directly_supported_primary,full_text_located,"Patil 2018 PMC5931334 (official PMC full-text XML, auditor-fetched): cytotoxic-transcript list 'GZMB, PRF1, GZMH, GNLY, ... S1PR5, NKG7, CD244' in the CD4-TEMRA differential-expression RESULTS (GZMB/PRF1 9 hits, GZMH/GNLY 5, NKG7 6). https://pmc.ncbi.nlm.nih.gov/articles/PMC5931334/",human,shared_cytotoxic_lineages,shared with CD8/NK cytotoxic programs; a pan-cytotoxicity signature (GZMH most CD4-CTL-associated),NKG7 is a primary-supported (Patil 2018) cytotoxicity transcript of the human CD4-CTL program; not CD4-CTL-specific vs CD8/NK.,,
th9_like,Th9-like,IL9,True,True,,False,True,signature Th9 effector cytokine,chang,20431622,10.1038/ni.1867,The transcription factor PU.1 is required for the development of IL-9-producing T cells and allergic inflammation.,directly_supported_primary,abstract_located,Chang 2010 abstract: 'interleukin 9 (IL-9)-secreting subset of helper T cells' (mouse + human siRNA),mixed_mouse_human,shared_other_lineage,shared with mast cells/ILC2; two-gene panel is thin,IL9 is the primary-supported signature Th9 cytokine (mouse + human siRNA evidence in Chang 2010).,,
th9_like,Th9-like,SPI1,True,True,,False,True,"PU.1, Th9-promoting transcription factor",chang,20431622,10.1038/ni.1867,The transcription factor PU.1 is required for the development of IL-9-producing T cells and allergic inflammation.,directly_supported_primary,abstract_located,Chang 2010 abstract: 'ETS-family transcription factor PU.1 was required' (siRNA in human T cells in text),mixed_mouse_human,shared_other_lineage,PU.1 is a master myeloid/B-cell TF; in a CD4 object high-SPI1 risks scoring myeloid/B contamination,"SPI1/PU.1 as Th9-promoting TF is primary-supported (Chang 2010); specificity limit: broadly myeloid/B TF, contamination risk in mixed objects.",,
diff_naive,Naïve-like,CCR7,True,True,,False,True,lymph-node homing; naive/central-memory,sallusto,10537110,10.1038/44385,Two subsets of memory T lymphocytes with distinct homing potentials and effector functions.,directly_supported_primary,abstract_located,Sallusto 1999 abstract: 'expression of CCR7... divides human memory T cells',human,context_dependent,"shared with central-memory (Tcm); marks naive/Tcm axis, not naive-exclusive","CCR7 is primary-supported (Sallusto 1999); it defines a naive/central-memory homing axis, cannot discriminate naive from Tcm.",,
diff_naive,Naïve-like,SELL,True,True,,False,True,"CD62L, naive/Tcm marker",gattinoni,21926977,10.1038/nm.2446,A human memory T cell subset with stem cell-like properties.,directly_supported_primary,abstract_located,Gattinoni 2011 abstract phenotype list: 'CD62L(+)' (CD8-centric Tscm),human_cd8_centric,context_dependent,shared with Tcm; CD8-centric primary source,SELL/CD62L appears verbatim in Gattinoni's naive-like phenotype (CD8-centric); supports naive/Tcm state.,,
diff_naive,Naïve-like,TCF7,True,True,,False,True,"TCF1, naive/stemness transcription factor",gattinoni,21926977,10.1038/nm.2446,A human memory T cell subset with stem cell-like properties.,not_in_cited_source,cited_not_located,TCF7 NOT in Gattinoni 2011 abstract/full text or Sallusto text,na,context_dependent,stemness TF shared with Tscm/Tfh; a naive-memory-stem axis,TCF7/TCF1 is biologically standard for naive/stemness but is NOT directly sourced by the registry citations.,,
diff_naive,Naïve-like,LEF1,True,True,,False,True,naive/stemness transcription factor,gattinoni,21926977,10.1038/nm.2446,A human memory T cell subset with stem cell-like properties.,not_in_cited_source,cited_not_located,LEF1 NOT in Gattinoni 2011 abstract OR full text (verified); NOT in Sallusto — downgraded from prior draft,human_cd8_centric,context_dependent,stemness TF shared with Tscm; CD8-centric source,"LEF1 is NOT documented in the registry's cited sources: verified ABSENT from Gattinoni 2011 abstract and PMC full text, and not in Sallusto 1999. No allowed primary/review support from cited sources (would require an added reference).",,
diff_naive,Naïve-like,IL7R,True,True,,False,True,"CD127, naive/memory homeostatic receptor",gattinoni,21926977,10.1038/nm.2446,A human memory T cell subset with stem cell-like properties.,directly_supported_primary,abstract_located,Gattinoni 2011 abstract phenotype list: 'IL-7Ralpha(+)' (CD8-centric Tscm),human_cd8_centric,shared_other_lineage,"broadly on naive AND memory, low on effector/Treg — NOT naive-specific","IL7R/CD127 appears in Gattinoni's naive-like phenotype; marks homeostatic naive+memory, not naive-specific.",,
diff_naive,Naïve-like,MAL,True,True,,False,True,naive T-cell membrane marker,,,,,not_in_cited_source,none,MAL not in Gattinoni or Sallusto text,na,context_dependent,naive-enriched among CD4 but unsourced here,MAL is a naive-enriched membrane marker but is absent from the cited sources; not sourced.,,
diff_activated,Activated,CD69,True,True,,False,True,early activation marker,shipkova,22120733,10.1016/j.cca.2011.11.006,Surface markers of lymphocyte activation and markers of cell proliferation.,cited_review_not_located,cited_not_located,"Shipkova&Wieland 2012 (review, 'Surface markers of lymphocyte activation'); PMC full text not retrievable, CD69 not in abstract — topical but exact support not located",review,specific_within_cd4,canonical early-activation marker — appropriate for an activation program,"The cited review (Shipkova & Wieland 2012) is attached and topically relevant, but exact support for CD69 / this rationale was NOT located in the retrievable text. CD69 remains a candidate panel component pending an exact locator or an added source.",,
diff_activated,Activated,IL2RA,True,True,,False,True,"CD25, activation / high-affinity IL-2R",shipkova,22120733,10.1016/j.cca.2011.11.006,Surface markers of lymphocyte activation and markers of cell proliferation.,directly_supported_review,abstract_located,Shipkova&Wieland 2012 abstract: 'CD25 (the IL-2 receptor)',review,shared_other_lineage,constitutive on Treg — high CD25 may reflect Treg not activation (overlaps Treg panel),IL2RA/CD25 is a review-supported activation marker; overlaps constitutive Treg expression.,,
diff_activated,Activated,CD38,True,True,,False,True,activation ectoenzyme,shipkova,22120733,10.1016/j.cca.2011.11.006,Surface markers of lymphocyte activation and markers of cell proliferation.,cited_review_not_located,cited_not_located,"Shipkova&Wieland 2012 (review); full text not retrievable, CD38 not in abstract — not located",review,shared_other_lineage,also plasmablasts/NK/naive subsets,"The cited review (Shipkova & Wieland 2012) is attached and topically relevant, but exact support for CD38 / this rationale was NOT located in the retrievable text. CD38 remains a candidate panel component pending an exact locator or an added source.",,
diff_activated,Activated,MKI67,True,True,,False,True,"Ki-67, proliferation",shipkova,22120733,10.1016/j.cca.2011.11.006,Surface markers of lymphocyte activation and markers of cell proliferation.,cited_review_not_located,cited_not_located,"Shipkova&Wieland 2012 (review, '...markers of cell proliferation'); full text not retrievable, Ki-67/MKI67 not in abstract — not located",review,proliferation_generic,marks ANY cycling cell — proliferation not activation per se,"The cited review (Shipkova & Wieland 2012) is attached and topically relevant, but exact support for MKI67 / this rationale was NOT located in the retrievable text. MKI67 remains a candidate panel component pending an exact locator or an added source.",,
diff_activated,Activated,HLA-DRA,False,True,,False,True,late activation (MHC-II); ABSENT from object,shipkova,22120733,10.1016/j.cca.2011.11.006,Surface markers of lymphocyte activation and markers of cell proliferation.,cited_review_not_located,cited_not_located,"INTENDED-ONLY (measured=false, zero contribution). Shipkova&Wieland 2012 review; not located in abstract",review,context_dependent,INTENDED-ONLY: in panel_genes_intended but absent from panel_genes_measured; contributes zero to the score,"INTENDED-ONLY (in panel_genes_intended, absent from panel_genes_measured; measured=false, contributes zero to the score). The cited review (Shipkova & Wieland 2012) is attached but exact support for HLA-DRA was NOT located; intended-only status preserved without claiming verified support.",,"coverage: n_intended=6, n_measured=5, genes_absent=['HLA-DRA']. Point 8: preserve intended-only, do NOT exclude from spec."
diff_activated,Activated,TNFRSF9,True,True,,False,True,"4-1BB/CD137, activation costimulation",shipkova,22120733,10.1016/j.cca.2011.11.006,Surface markers of lymphocyte activation and markers of cell proliferation.,cited_review_not_located,cited_not_located,"Shipkova&Wieland 2012 (review); full text not retrievable, 4-1BB/TNFRSF9 not in abstract — not located",review,shared_with_activation,activation-induced costimulator; also activated Treg,"The cited review (Shipkova & Wieland 2012) is attached and topically relevant, but exact support for TNFRSF9 / this rationale was NOT located in the retrievable text. TNFRSF9 remains a candidate panel component pending an exact locator or an added source.",,
diff_memory,Memory / adhesion-like,ITGAL,True,True,,False,True,"LFA-1α, memory adhesion",mahnke,24258910,10.1002/eji.201343751,The who's who of T-cell differentiation: human memory T-cell subsets.,not_in_cited_source,cited_not_located,ITGAL not documented in Sallusto 1999 or Mahnke 2013 inspected text,na,low_specificity,broadly expressed adhesion molecule; the cited reviews do not document this panel,ITGAL is a plausible memory-adhesion molecule but the six-gene panel is NOT documented in the cited sources.,,
diff_memory,Memory / adhesion-like,FAS,True,True,,False,True,"CD95, memory/activation apoptosis receptor",mahnke,24258910,10.1002/eji.201343751,The who's who of T-cell differentiation: human memory T-cell subsets.,not_in_cited_source,cited_not_located,FAS/CD95 not documented in cited memory-program text,na,shared_with_activation,induced on activation AND memory; not memory-specific,FAS/CD95 is memory/activation-associated but not documented by the memory program's cited sources.,,
diff_memory,Memory / adhesion-like,CD58,True,True,,False,True,"LFA-3, memory adhesion",mahnke,24258910,10.1002/eji.201343751,The who's who of T-cell differentiation: human memory T-cell subsets.,not_in_cited_source,cited_not_located,CD58/LFA-3 not documented in cited text,na,low_specificity,broadly/ubiquitously expressed adhesion ligand,CD58/LFA-3 is a broadly expressed adhesion ligand; not documented by cited sources.,,
diff_memory,Memory / adhesion-like,ITGA4,True,True,,False,True,"VLA-4α, memory adhesion/trafficking",mahnke,24258910,10.1002/eji.201343751,The who's who of T-cell differentiation: human memory T-cell subsets.,not_in_cited_source,cited_not_located,ITGA4/VLA-4 not documented in cited text,na,low_specificity,broadly expressed; trafficking/adhesion,ITGA4/VLA-4 is a trafficking/adhesion molecule; not documented by cited sources.,,
diff_memory,Memory / adhesion-like,S100A4,True,True,,False,True,memory-associated calcium-binding protein,,,,,not_in_cited_source,none,S100A4 not in registry citations; uncited external primary: Weatherly 2015 (PMID 26734465),na,low_specificity,expressed in many effector/memory and myeloid cells,S100A4 is not in the registry citations; primary support exists externally (Weatherly 2015) but is not cited.,Weatherly 2015 (PMID 26734465): S100A4 functional profile in T cells,
diff_memory,Memory / adhesion-like,CD27,True,True,,False,True,memory costimulatory receptor,mahnke,24258910,10.1002/eji.201343751,The who's who of T-cell differentiation: human memory T-cell subsets.,cited_review_not_located,cited_not_located,"Mahnke 2013 (review, CD27/CD45RA subsetting); PMC full text not retrievable, CD27 not in abstract — topical but exact support not located. Paired CD45RA/PTPRC NOT in panel",review,context_dependent,on naive AND non-terminal memory; lost on terminal effector — marks non-terminal state,"The cited review (Mahnke 2013) is attached and topically relevant, but exact support for CD27 / this rationale was NOT located in the retrievable text. CD27 remains a candidate panel component pending an exact locator or an added source.",,
diff_checkpoint,Checkpoint-high,PDCD1,True,True,,False,True,"PD-1, exhaustion/checkpoint",wherry,26205583,10.1038/nri3862,Molecular and cellular insights into T cell exhaustion.,directly_supported_review,full_text_located,Wherry&Kurachi 2015 full text: 'programmed cell death protein 1 (PD1)',review,shared_with_activation,strongly activation-induced on normal human CD4 — exhaustion not separable from activation by PD-1 alone,PDCD1/PD-1 is a review-supported checkpoint/exhaustion marker; in activated CD4 high-PD-1 also marks normal activation.,,
diff_checkpoint,Checkpoint-high,TOX,True,True,,False,True,exhaustion master transcription factor,wherry,26205583,10.1038/nri3862,Molecular and cellular insights into T cell exhaustion.,not_in_cited_source,cited_not_located,"TOX NOT in Wherry&Kurachi 2015 full text (verified 0 hits); correct primary: Khan 2019 (PMID 31207603, CD8)",na,context_dependent,more exhaustion-selective TF but established after the cited 2015 review; CD8 basis,TOX exhaustion-master-TF role is NOT supported by the cited 2015 review; correct primary source is Khan 2019 (CD8).,Khan 2019 (PMID 31207603): TOX programs CD8 T-cell exhaustion,
diff_checkpoint,Checkpoint-high,HAVCR2,True,True,,False,True,"TIM-3, checkpoint",wherry,26205583,10.1038/nri3862,Molecular and cellular insights into T cell exhaustion.,directly_supported_review,full_text_located,Wherry&Kurachi 2015 full text: 'TIM3; also known as HAVCR2',review,shared_with_activation,also activated effector/Treg/myeloid; activation-induced,"HAVCR2/TIM-3 is a review-supported checkpoint marker; activation-induced, not exhaustion-specific.",,
diff_checkpoint,Checkpoint-high,LAG3,True,True,,False,True,checkpoint,wherry,26205583,10.1038/nri3862,Molecular and cellular insights into T cell exhaustion.,directly_supported_review,full_text_located,Wherry&Kurachi 2015 full text: 'lymphocyte activation gene 3 protein (LAG3)',review,shared_with_activation,transiently induced on normal activation,LAG3 is a review-supported checkpoint marker; activation-induced in normal CD4.,,
