record_id,program_id,program_label,marker,row_scope,base_program_id,provenance_inherited,counted_unique_gap,measured_in_object,pre_audit_state,completion_status,support_level,species_lineage_scope,claim_scope_limit,pmid,pmcid,doi,title,year,source_url,exact_locator,corroborating_pmid,corroborating_pmcid,corroborating_doi,corroborating_title,corroborating_year,corroborating_url,corroborating_locator,proposed_rationale_wording,notes
mem_fas,diff_memory,Memory / adhesion-like,FAS,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD8_EM_TRM_rest_replicated,human_tissue_CD8_memory_two_donors,"Enrichment is in resting CD8 EM/TRM clusters; FAS also marks activation/apoptosis and is not memory-specific.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 8 and donor 2 cluster 7 to CD8 EM/TRM rest; Supplementary Data 3 worksheet cluster8 row 121 (FDR 2.06e-67; log2_effect 1.9725) and Supplementary Data 4 worksheet cluster7 row 28 (FDR 2.64e-40; log2_effect 1.3814).",,,,,,,,"FAS RNA is enriched in resting human CD8 effector-/tissue-resident-memory clusters; it supports a memory/activation-associated RNA component, not memory identity.","Replicated across both tissue donors, but CD8 and activation overlap remain explicit."
mem_cd58,diff_memory,Memory / adhesion-like,CD58,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_one_donor_CD8_EM_TRM_rest,human_tissue_CD8_memory_one_donor,"One-donor resting CD8 EM/TRM enrichment only; CD58 is broadly expressed, so support is weak for memory specificity and limited to module association.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 8 to CD8 EM/TRM rest; Supplementary Data 3 worksheet cluster8 row 1396 (FDR 5.60e-20; log2_effect 1.6110).",,,,,,,,"CD58 RNA was enriched in one primary human resting CD8 effector-/tissue-resident-memory cluster and can support an adhesion-like RNA component; it is not a memory-specific marker.","Bounded one-donor evidence; no stronger exact human memory-specific primary locator was located."
mem_itga4,diff_memory,Memory / adhesion-like,ITGA4,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_bulk_RNAseq_CD8_memory,human_blood_CD4_and_CD8_memory_four_donors,"Authors report higher expression in CD8 memory T cells; this is lineage-biased and not memory-specific across all T cells.",37012418,PMC10070634,10.1038/s42003-023-04747-9,Distinct transcriptomic and epigenomic modalities underpin human memory T cell subsets and their activation potential,2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10070634/,"Results 'The shared transcriptional programs of human CD4+ and CD8+ MTC,' paragraph Par7; Fig. 1e. Four-donor sorted human blood RNA-seq reports ITGAL/CD11a and ITGA4/VLA4 expressed more highly in CD8+ memory T cells.",,,,,,,,"ITGA4 RNA is associated with a human CD8 memory T-cell transcriptional profile and can support the adhesion-like portion of the module; it is not memory- or CD4-specific.","Four-donor direct RNA evidence; claim deliberately limited to association."
mem_s100a4,diff_memory,Memory / adhesion-like,S100A4,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_one_donor_CD8_EM_TRM_rest,human_tissue_CD8_memory_one_donor,"One-donor resting CD8 EM/TRM enrichment; S100A4 is broadly expressed in activated, stromal, and myeloid contexts and is not memory-specific.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 8 to CD8 EM/TRM rest; Supplementary Data 3 worksheet cluster8 row 1229 (FDR 4.74e-22; log2_effect 0.4747).",,,,,,,,"S100A4 RNA was enriched in one primary human resting CD8 effector-/tissue-resident-memory cluster; it supports a memory-associated RNA component but not memory identity or function.","Weatherly 2015 is mouse-based; this human scRNA source is used instead for the RNA association."
mem_cd27,diff_memory,Memory / adhesion-like,CD27,base_program_gap,,False,True,True,cited_review_not_located,primary_source_located_bounded,direct_primary_human_scRNA_one_donor_CD8_EM_TRM_activated,human_tissue_CD8_memory_one_donor,"Enrichment is in an activated CD8 EM/TRM cluster; CD27 also occurs in naive and non-terminal memory and is not a general memory-specific marker.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 10 to CD8 EM/TRM act; Supplementary Data 3 worksheet cluster10 row 190 (FDR 0.00102; log2_effect 0.4732).",,,,,,,,"CD27 RNA was enriched in one primary human activated CD8 effector-/tissue-resident-memory cluster; it supports a non-terminal memory-associated RNA component, not memory identity.","Bounded one-donor evidence; primary human TSCM phenotype evidence exists, but this locator was selected because it directly measures RNA."
chk_pdcd1,diff_checkpoint,Checkpoint-high,PDCD1,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; PDCD1 is also activation-induced and does not by itself establish exhaustion, tumor specificity, or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14 beginning 'Restricting the gene expression analysis'; Fig. 2G-H and Table S8 show PDCD1 among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs. Paragraph P16 explicitly evaluates PDCD1 within minimal activation/dysfunction RNA gene sets.",,,,,,,,"PDCD1 RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA component but not exhaustion identity or function.","Direct primary RNA source replaces review-only support."
chk_tox,diff_checkpoint,Checkpoint-high,TOX,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Human tumor TIL RNA association only; does not establish a universal master regulator, function, or CD4 identity.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14 beginning 'Restricting the gene expression analysis'; Fig. 2G-H and Table S8 show TOX among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs. Paragraph P16 explicitly evaluates TOX within minimal activation/dysfunction RNA gene sets.",,,,,,,,"TOX RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA association without claiming master-regulator function or cell identity.","Specifically resolves the Wherry-2015 zero-hit gap with a human primary RNA source rather than relying only on mouse/CD8 mechanism papers."
chk_havcr2,diff_checkpoint,Checkpoint-high,HAVCR2,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD8_neoTCR_TIL,human_CD8_neoantigen_reactive_TIL,"Direct source is CD8-specific in this passage; HAVCR2 is also activation-induced and does not establish exhaustion identity or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14: CD8+ NeoTCR TILs express HAVCR2 with LAG3 and ENTPD1; Fig. 2H and Table S8. Paragraph P16 explicitly evaluates HAVCR2 within minimal activation/dysfunction RNA gene sets.",,,,,,,,"HAVCR2 RNA is associated with a primary human CD8 tumor-reactive dysfunctional T-cell program; it supports a checkpoint-high RNA component but not CD4 transfer, exhaustion identity, or function.","Lineage transfer to CD4 remains unsupported by this exact locator and is not asserted."
chk_lag3,diff_checkpoint,Checkpoint-high,LAG3,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; LAG3 is also activation-induced and does not by itself establish exhaustion or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14; Fig. 2H and Table S8 show LAG3 among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs, with an additional explicit CD8 statement. Paragraph P16 evaluates LAG3 in minimal activation/dysfunction RNA gene sets.",,,,,,,,"LAG3 RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA component but not exhaustion identity or function.","Direct primary RNA source replaces review-only support."
chk_tigit,diff_checkpoint,Checkpoint-high,TIGIT,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; TIGIT overlaps Treg and activation and does not establish exhaustion or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14; Fig. 2G-H and Table S8 show TIGIT among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs. Paragraph P16 evaluates TIGIT in minimal activation/dysfunction RNA gene sets.",,,,,,,,"TIGIT RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA component but not exhaustion identity or function.","Direct primary RNA source replaces review-only support."
chk_entpd1,diff_checkpoint,Checkpoint-high,ENTPD1,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; ENTPD1 overlaps Treg and activated states and does not establish ectoenzyme function or exhaustion identity.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14; Fig. 2G-H and Table S8 show ENTPD1/CD39 among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs, with an additional explicit CD8 statement. Paragraph P16 evaluates ENTPD1 in minimal activation/dysfunction RNA gene sets.",,,,,,,,"ENTPD1 RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA association without claiming exhaustion identity or ectoenzyme function.","Specifically resolves the Wherry-2015 zero-hit gap with human CD4-and-CD8 primary RNA evidence, improving on CD8-only Gupta attribution."
ctl_actadj_klrd1,cd4_ctl_like_actadj,CD4 CTL-like - activation-adjusted sensitivity,KLRD1,inherited_sensitivity_alias,cd4_ctl_like,True,False,True,inherited_gap_from_base,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_mixed_CD4_CD8_CTL_cluster,human_hCMV_reactive_CD4_and_CD8_T_cells,"No separate biological program is validated; this is an algorithmic residualized sensitivity display and inherits all KLRD1 limits from the base row.",38501302,PMC7616077,10.1111/imm.13783,Single-cell transcriptomic and T cell antigen receptor analysis of human cytomegalovirus (hCMV)-specific memory T cells reveals effectors and pre-effectors of CD8(+)- and CD4(+)-cytotoxic T cells.,2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC7616077/,"Inherited from ctl_klrd1; base locator: Results P30-P32 and Fig. 5d/g-i. No separate source is needed or warranted for the residualized display.",,,,,,,,"Inherited from cd4_ctl_like: KLRD1 supports only a shared human cytotoxic T-cell RNA association; activation residualization does not create or validate a separate biological program.","counted_unique_gap=false; keep stage2_selectable=false and role_sensitivity_display_only."
pred_cd69,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,CD69,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Algorithmic predictor attribution only; does not validate the residualized lane as a biological program.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Inherited from act_cd69; base locator: Fig. 1a/c and Supplementary Data 3 cluster4 row 21 plus Data 4 cluster4 row 61.",,,,,,,,"Inherited activation-predictor attribution: CD69 RNA is activation-associated in human CD4 T cells; using it for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
pred_cd38,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,CD38,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_primary_human_scRNA_module_use_plus_protein_induction,human_MAIT_scRNA_plus_human_CD4_CD8_stimulation,"Algorithmic predictor attribution only; RNA support remains module-use plus protein induction and does not validate the residualized lane.",34394094,PMC8363247,10.3389/fimmu.2021.700152,Single-Cell Transcriptomic Profiling of MAIT Cells in Patients With COVID-19,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8363247/,"Inherited from act_cd38; base locator: Methods 'Defining Cell State Scores,' Results Fig. 3A, and Discussion RNA-level scoring caveat.",18382686,PMC2271052,10.1371/journal.pone.0001915,"Toll-like receptor ligands induce human T cell activation and death, a model for HIV pathogenesis",2008,https://pmc.ncbi.nlm.nih.gov/articles/PMC2271052/,"Fig. 1 and Fig. 4B show induced CD38 protein on human CD4/CD8 or purified memory CD4 T cells.","Inherited activation-predictor attribution: CD38 is activation-associated in human T cells; using its RNA for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
pred_mki67,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,MKI67,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_TCR_stimulated_cell_cycle,human_primary_CD8_T_cells_two_donors,"Algorithmic predictor attribution only; MKI67 is proliferation-generic and does not validate the residualized lane.",30449619,PMC6689405,10.1016/j.cell.2018.10.024,Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function,2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/,"Inherited from act_mki67; base locator: Results P19/P21 and Fig. 4B caption P81.",,,,,,,,"Inherited activation-predictor attribution: MKI67 RNA tracks cycling stimulated T cells; using it for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
pred_tnfrsf9,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,TNFRSF9,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Algorithmic predictor attribution only; does not validate the residualized lane as a biological program.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Inherited from act_tnfrsf9; base locator: Fig. 1c and Supplementary Data 4 cluster4 row 1664 plus cluster5 row 53.",,,,,,,,"Inherited activation-predictor attribution: TNFRSF9 RNA is activation-associated in human CD4 T cells; using it for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
